Check,SKU,UPC,Description,Price,CurrencyCode,Sell_Unit
1,003070327,000000000002957773,Hoa hoe kg,43,000,VND,KG
1,003070332,000000000002957777,Nhan nhuc kho kg,210,000,VND,KG
1,003070336,000000000002957782,Tao do kho kg,76,000,VND,KG
1,003070339,000000000002957783,Tao den kho kg,40,000,VND,KG
1,003070342,000000000002957256,Kho ca com kg,165,000,VND,KG
1,003070347,000000000002950829,Nam meo trang kg,55,000,VND,KG
1,003070357,000000000002957778,Nu voi kg,32,000,VND,KG
1,003070360,000000000002957784,Thuc dia kg,65,000,VND,KG
1,003070363,000000000002950864,Nam linh chi nguyen Kg,180,000,VND,KG
1,003070368,000000000002950866,Nam tram Kg,81,000,VND,KG
1,003070370,000000000002950871,Tim sen Kg,83,000,VND,KG
1,003070375,000000000002957769,Duong phen kg,27,500,VND,KG
1,003070383,000000000002950868,Tieu hat den Kg,272,000,VND,KG
1,003070385,000000000002950873,Ot bot HQuoc Kg,18,000,VND,KG
1,003070388,000000000002957760,Dau xanh khong vo kg,58,000,VND,KG
1,003070395,000000000002957752,Dau den kg,45,500,VND,KG
1,003070397,000000000002957753,Dau do kg,45,000,VND,KG
1,003070398,000000000002957758,Dau trang Dalat kg,14,000,VND,KG
1,003070399,000000000002957755,Dau phong kg,69,000,VND,KG
1,003070400,000000000002957757,Dau phong thuong kg,17,000,VND,KG
1,003070401,000000000002950859,Cu cai muoi kg,19,500,VND,KG
1,003070402,000000000002957754,Dau nanh kg,30,000,VND,KG
1,003071332,000000000002911613,S-Hong trung kg (1),23,000,VND,KG
1,003071339,000000000002911551,S-Nho den VietNam kg (1),18,000,VND,KG
1,003071343,000000000002911777,S-Dua luoi tron kg (1),9,000,VND,KG
1,003071350,000000000002952304,Thit heo nac tinh kg,45,000,VND,KG
1,003071362,000000000002951626,Cam la dai kg,17,000,VND,KG
1,003071366,000000000002952303,Nac roi kg,41,000,VND,KG
1,003071370,000000000002953008,Gau bo kg,180,000,VND,KG
1,003071373,000000000002951646,Vai trung kg,59,000,VND,KG
1,003071379,000000000002955104,Ca Huong Bi kg,22,000,VND,KG
1,003071405,000000000002950147,Bong cuc kho kg,56,000,VND,KG
1,003071407,000000000002950150,Pho tai kg,108,000,VND,KG
1,003071411,000000000002950145,Rong bien kg,102,000,VND,KG
1,003071412,000000000002950860,Hat duoi uoi kg,332,000,VND,KG
1,003071413,000000000002950861,Hat e kg,255,000,VND,KG
1,003071415,000000000002950867,Nam tuyet kg,305,000,VND,KG
1,003071416,000000000002950862,Hat sen hue kho kg,120,000,VND,KG
1,003071418,000000000002950853,Cu Nang got vo kg,62,000,VND,KG
1,003071471,000000000002958506,Dau phong nau (luoc)kg,59,900,VND,KG
1,003071551,000000000002950870,Tieu xay kg,285,000,VND,KG
1,003071635,000000000002951774,Cam sanh loai so 2trai/kg,13,500,VND,KG
1,003071638,000000000002950166,Nam rom got vo kg,89,000,VND,KG
1,003071695,000000000002951659,Hong Bom Dalat kg,36,500,VND,KG
1,003071949,000000000002957276,Vi ca Ngu DAIDUONG kg,104,000,VND,KG
1,003071956,000000000002957308,Kho Ca Com tam nho kg,52,000,VND,KG
1,003071962,000000000002957279,Kho ca Thieu kg,102,000,VND,KG
1,003071965,000000000002957297,Kho Ca Thu tam kg,118,000,VND,KG
1,003071968,000000000002957282,Kho muc nho kg,239,500,VND,KG
1,003072008,000000000002957310,Kho ca thieu tam ot kg,88,000,VND,KG
1,003072161,000000000002957312,Kho ca loc kg,235,000,VND,KG
1,003072165,000000000002955534,Muc tuoi muoi loai lon kg,265,000,VND,KG
1,003072268,000000000002956042,Cang cua kg,300,000,VND,KG
1,003072473,000000000002951775,Nho do My loai2 kg,52,000,VND,KG
1,003072808,000000000002950120,Rau nhut kg,12,000,VND,KG
1,003072819,000000000002950144,Hanh la Mien Bac Kg,46,000,VND,KG
